"Date","Record Number","Record Type","Address","Description","Permit Name","Status","Short Notes",
"03/20/2015","BA-201501527","Arborist Illegal Activity","2129 COLLEGE AVE NE, ATLANTA GA 30317","Illegal ActivityThere has been a complaint that trees were removed illegally outside of the scope of work on the approved arborist set of plans.  Please investigate this matter.","Illegal Activity","Closed - No Violation Found",,
"03/04/2015","BA-201501176","Arborist Illegal Activity","135 MEMORIAL DR SW, ATLANTA GA 30303","Removal of trees from site without tree removal permit.1.) Elm, 25"" diameter at breast height, located back left of property.2.) Elm, 8"" diameter at breast height, located back left of property.3.) Elm, 19"" diameter at breast height, located back center of property.4.) Elm, 23"" diameter at breast height, located back center of property.5.) Elm, 9"" diameter at breast height, located back right of property.Total dbh inches removed; 84"" inches","Illegal Removal/destruction","Assigned",,
"03/04/2015","BA-201501182","Arborist Illegal Activity","1050 EDISON GARDEN NE, ATLANTA GA 30324","Illegal destruction of critical root zone and structural root plate on a 29"" Pine located at the front left.","Illegal Activity","Assigned",,
"02/27/2015","BA-201501061","Arborist Illegal Activity","1025 MORELAND AVE SE, ATLANTA GA 30316","Illegal Removal:1. Pecan, 21"" diameter at breast height, located leftside of residence - beside driveway.Tree removed without permit.","Illegal Removal","Assigned",,
"02/19/2015","BA-201500906","Arborist Illegal Activity","2761 ALPINE RD NE, ATLANTA GA 30305","Three trees with destroyed structural root plates:18"" Pine11"" Water Oak12"" Water Oak","Illegal Activity","Fine",,
"01/29/2015","BA-201500507","Arborist Illegal Activity","2254 VIRGINIA PL NE, ATLANTA GA 30305","Illegal ActivityMay be going on.  Please investigate this matter.","Illegal Activity","Closed - No Violation Found",,
"01/21/2015","BA-201500352","Arborist Illegal Activity","4086 STATEWOOD RD NE, ATLANTA GA 30342","Illegal removal of a River Birch of unknown diameter without a permit.","Illegal Activity","Fine",,
"01/14/2015","BA-201500242","Arborist Illegal Activity","102 TURMAN AVE SE, ATLANTA GA 30315","Illegal Tree Removal:1.) Pecan, 18"" diameter at breast height, located back center of property.","Illegal Tree Removal","Assigned",,
"01/08/2015","BA-201500147","Arborist Illegal Activity","1339 CASCADE FALLS DR SW, ATLANTA GA 30311","Illegal Removal/Destruction:1.) Unknown, 12"" dbh, located back right of property.2.) Unknown, 10"" dbh, located back right of property.3.) Unknown, 14"" dbh, located back right of property.Three trees removed without tree removal permit.","Illegal Activity","Assigned",,
"01/06/2015","BA-201500068","Arborist Illegal Activity","3240 WESTPORT WAY SW, ATLANTA GA 30311","Illegal Tree Removal - Removed without tree removal permit1.) Tulip Poplar, 22"" diameter at breast height, located back rightside of property.","Illegal Tree Removal","Assigned",,
"12/30/2014","BA-201407620","Arborist Illegal Activity","383 PEACHTREE AVE NE, ATLANTA GA 30305","Missing tree protection fencing and disturbed root zones. Critical root zone and possible structural root zones impact.","Illegal Activity","Assigned",,
"12/22/2014","BA-201407562","Arborist Illegal Activity","500 ROCK SPRINGS RD NE, ATLANTA GA 30324","Illegal removal of:44"" Red Oak located at the front left.","Illegal Activity","Assigned",,
"12/22/2014","BA-201407564","Arborist Illegal Activity","811 NORTH HIGHLAND AVE NE, ATLANTA GA 30306","Illegal destruction of critical root zones and structural root plates. Addition of soil on top of critical root zones. Trees:28"" Pecan35"" Pecan45"" White Oak","Illegal Activity","Assigned",,
"12/18/2014","BA-201407528","Arborist Illegal Activity","579 CRESTHILL AVE NE, ATLANTA GA 30306","Illegal Removal  There is a concern there has been trees being illegally removed throughout the back yard of this property.  Please investigate this matter.","Illegal Removal","Assigned",,
"12/17/2014","BA-201407503","Arborist Illegal Activity","10 THE PRADO NE, ATLANTA GA 30309","Illegal RemovalThere is a concern in regards to a boundary tree inbetween the two properties located at 10 & 14 The Prado, NE, that has been hit by lightening and has deterioated and has begun dropping big limbs and branches and may be dead or dying now.  The concern is that the tree is very large and if it falls it will destroy numerous homes around it.  Please investigate this matter.","Illegal Removal","Terminated",,
"12/15/2014","BA-201407469","Arborist Illegal Activity","3474 NANCY CREEK RD NW, ATLANTA GA 30327","Illegal Removal","Illegal Removal","Assigned",,
"12/12/2014","BA-201407432","Arborist Illegal Activity","1029 DREWRY ST NE, ATLANTA GA 30306","Unpermitted removal of a 6"" Italian Cypress located at the front left.","Illegal Activity","Fine",,
"12/08/2014","BA-201407312","Arborist Illegal Activity","436 MCWILLIAMS AVE SE, ATLANTA GA 30316","Illegal Removal - DestructionTwo pine trees removed without permit.1.) Pine, 22"" dbh, located back left of property.2.) Pine, 25"" dbh, located back right of property.","Illegal Removal - Destruction","Assigned",,
"12/05/2014","BA-201407281","Arborist Illegal Activity","3238 WOOD VALLEY RD NW, ATLANTA GA 30327","Illegal RemovalTrees are being removed without a permit.  Please investigate this matter.","Illegal Removal","Closed - No Violation Found",,
"12/03/2014","BA-201407193","Arborist Illegal Activity","436 MCWILLIAMS AVE SE, ATLANTA GA 30316","Illegal RemovalThere is a concern in regards to a pine tree in the back yard being illegally removed from the property located at 436 McWilliams Avenue, SE.  Please investigate this matter.","Illegal Removal","Assigned",,
"12/03/2014","BA-201407214","Arborist Illegal Activity","755 STOVALL BLVD NE, ATLANTA GA 30342","Illegal RemovalThere is a concern in regards to illegal removal of boundary trees that should have been protected under the building permit that was pulled for a new single family construction.","Illegal Removal","Assigned",,
"11/26/2014","BA-201407130","Arborist Illegal Activity","4518 CLUB CIR NE, ATLANTA GA 30319","Illegal removal of four trees located at the rear of the property:19"" Sweetgum14"" Hickory24"" Pine18"" Pine","Illegal Activity","Fine",,
"11/26/2014","BA-201407138","Arborist Illegal Activity","3893 NORTH STRATFORD RD NE, ATLANTA GA 30342","Illegal Removal as well as Illegal Destruction has taken place on this property by Perez Tree Service.  Please investigate this matter.  Trees were three feet off the driveway.","Illegal Removal","Assigned",,
"11/25/2014","BA-201407098","Arborist Illegal Activity","794 PENN AVE NE, ATLANTA GA 30308","Illegal removal of: Two hardwoods of undetermined diameter removed without a permit.","Illegal Activity","Assigned",,
"11/24/2014","BA-201407062","Arborist Illegal Activity","811 NORTH HIGHLAND AVE NE, ATLANTA GA 30306",,"Complaint","Pending - Illegal Activity",,
"11/21/2014","BA-201407053","Arborist Illegal Activity","2169 SPINK ST NW, ATLANTA GA 30318","Illegal Activity","Illegal Activity","Open",,
"11/19/2014","BA-201406980","Arborist Illegal Activity","1909 FELKER WARD ST NW, ATLANTA GA 30318","Illegal Activity","Illegal Activity","Open",,
"11/17/2014","BA-201406917","Arborist Illegal Activity","137 RIDGELAND WAY NE, ATLANTA GA 30305","Large Pine tree removed without a permit","Illegal Activity/Investigation","Assigned",,
"11/13/2014","BA-201406881","Arborist Illegal Activity","928 KIPLING DR NW, ATLANTA GA 30318","Illegal Activity","Illegal Activity","Assigned",,
"11/10/2014","BA-201406820","Arborist Illegal Activity","2811 HOSEA L WILLIAMS DR SE, ATLANTA GA 30317","Illegal Activity/Removal of Trees;1.) Pine, 22"" diameter at breast height, located front left of property.2.) Pine, 28"" diameter at breast height, located front right of property.3.) Pine, 30"" diameter at breast height, located back right corner of residence.Trees were removed without tree removal permit issued, City of Atlanta.","Illegal Activity/Removal of Trees","Assigned",,
"11/03/2014","BA-201406651","Arborist Illegal Activity","444 CLAIRE DR NE, ATLANTA GA 30307","Illegal Removal - Destruction1.) Unknown Species, 12"" diameter at breast height, located front right corner of residence. Tree was removed without permit - stump remaining.2.) Unknown Species, 14"" diameter at breast height, located front right corner of residence. Tree was removed without permit - stump remaining.","Illegal Removal - Destruction","Assigned",,
"10/31/2014","BA-201406636","Arborist Illegal Activity","471 PINE TREE DR NE, ATLANTA GA 30305","Illegal DestructionMay be illegal destruction of tree in front yard of the property located at 471 Pine Tree, NW, due to the fact that there has been work done on the driveway near the tree roots without a permit.","Illegal Destruction","Assigned",,
"10/24/2014","BA-201406489","Arborist Illegal Activity","40 SPENCE AVE NE, ATLANTA GA 30317","Illegal Removal/Destruction:1.) Undetermined species, 10"" diameter at breast height, located back right of property.2.) Undetermined species, 10"" diameter at breast height, located back right of property.Two trees removed from site, prior to inspection.","Illegal Removal/Destruction","Assigned",,
"10/24/2014","BA-201406493","Arborist Illegal Activity","311 CLIFTON RD NE, ATLANTA GA 30307","Illegal Activity/Destruction;1.) Water Oak, 10"" dbh, located front right of property. Crtical root zone of this tree is impacted, heavy digging within 2' ft. of root collar.2.) Silver Maple, 12"" dbh, located back right of property. Critical root zone of this tree impacted, digging with 3' ft. of the root collar.3.) Silver Maple, 17"" dbh, located back left of property. Critical root zone of this tree impacted, 57 rock pushed up against root collar.This site is a no trees impacted.","Illegal Activity/Destruction","Assigned",,
"10/17/2014","BA-201406302","Arborist Illegal Activity","1330 MILLER REED AVE SE, ATLANTA GA 30315","Illegal Activity - Tree Removal without Permit.1.) Red Oak, 32"" diameter at breast height, located front rightside of property.2.) Pine, 23"" diameter at breast height, located back left of property.","Illegal Activity -Tree Removal without Permit","Assigned",,
"10/17/2014","BA-201406305","Arborist Illegal Activity","1990 BROOKVIEW DR NW, ATLANTA GA 30318","Illegal RemovalReport of trees being illegally removed.  Please investigate.","Illegal Removal","Closed - No Violation Found",,
"10/13/2014","BA-201406167","Arborist Illegal Activity","306 PEACHTREE BATTLE AVE NW, ATLANTA GA 30305","Illegal Activity","Illegal Activity","Assigned",,
"10/03/2014","BA-201405970","Arborist Illegal Activity","750 SAN ANTONIO DR NE, ATLANTA GA 30306","Illegal destruction of three trees:Oak 29"" - Identified as J on demo plans. Oak 40"" - Identified as K on demo plans.Beech 30"" - Identified as L on demo plans. All structural root plates were damaged.","Illegal Activity","Assigned",,
"10/02/2014","BA-201405920","Arborist Illegal Activity","3033 LENOX RD NE, COMMON, ATLANTA GA 30324","Illegal Activity","Illegal Activity","Assigned",,
"10/02/2014","BA-201405939","Arborist Illegal Activity","2254 VIRGINIA PL NE, ATLANTA GA 30305","Illegal Activity","Illegal Activity","Assigned",,
"09/30/2014","BA-201405866","Arborist Illegal Activity","816 LONGWOOD DR NW, ATLANTA GA 30305","illegal removal","illegal removal","Assigned",,
"09/25/2014","BA-201405783","Arborist Illegal Activity","2787 HOSEA L WILLIAMS DR SE, ATLANTA GA 30317","Illegal Removal1.) Hardwood, 12"" diameter at breast height, located back right of property.Tree removed during Orange Posting.","Illegal Removal","Assigned",,
"09/23/2014","BA-201405691","Arborist Illegal Activity","741 PONCE DE LEON CT NE, ATLANTA GA 30308","Illegal removal of four trees:8"" Mulberry9"" Hackberry2 additional trees of unknown species and diameter.","Illegal Removal","Assigned",,
"09/23/2014","BA-201405713","Arborist Illegal Activity","433 WIMBLEDON RD NE, ATLANTA GA 30324","Illegal Removal of 28"" Pine located at rear center.","Illegal Removal","Assigned",,
"09/17/2014","BA-201405563","Arborist Illegal Activity","1444 CAVE RD NW, ATLANTA GA 30327","Illegal Destruction","Illegal Destruction","Closed - No Violation Found",,
"09/16/2014","BA-201405510","Arborist Illegal Activity","1338 IVERSON ST NE, ATLANTA GA 30307","destroyed neighbor's 52"" southern red oak when construction wall was removed.","illegal activity","Open",,
"09/15/2014","BA-201405447","Arborist Illegal Activity","1269 LANIER BLVD NE, ATLANTA GA 30306","Illegal destruction of:30"" White Oak at front right. Critical root zone and structural root plate were damaged by demolition equipment.","Illegal Activty","Assigned",,
"09/12/2014","BA-201405417","Arborist Illegal Activity","3395 KNOLLWOOD DR NW, ATLANTA GA 30305","Illegal Destruction","Illegal Destruction","Open",,
"09/12/2014","BA-201405422","Arborist Illegal Activity","4265 HARRIS TRL NW, ATLANTA GA 30327","Illegal ActivityThere is a complaint of illegal removal of trees in the back yard.  Please investigate.","Illegal Activity","Closed - No Violation Found",,
"09/11/2014","BA-201405395","Arborist Illegal Activity","55 EAST LAKE DR SE, ATLANTA GA 30317","Illegal Activity - Illegal Removal1.) Pine, 20"" diameter at breast height, located back center of property.2.) Pine, 21"" diameter at breast height, located back center of property.Removed without permit.","Illegal Activity","Assigned",,
"09/11/2014","BA-201405396","Arborist Illegal Activity","585 PARKWAY DR NE, ATLANTA GA 30308","Illegal Activity - Illegal Removal/Destoyed1.) Water Oak, 20"" diameter at breast height, located front right of parking lot, complete canopy removed.2.) Water Oak, 18"" diameter at breast height, located front left of parking lot, complete canopy removed.3.) Maple, 11"" diameter at breast height, located front left entrance way, more than 20% canopy removed.4.) Maple, 10"" diameter at breast height, located front right entrance way, more than 20% canopy removed.","Illegal Activity","Assigned",,
"09/09/2014","BA-201405335","Arborist Illegal Activity","44 SPENCE AVE NE, ATLANTA GA 30317","Illegal Removal Destruction;1.) Pine, 21"" diameter at breast height, located front center of property.2.) Pine, 25"" diameter at breast height, located back left corner of residence.Removed without permit.","Illegal Removal Destruction","Assigned",,
"08/26/2014","BA-201404998","Arborist Illegal Activity","741 PONCE DE LEON CT NE, ATLANTA GA 30308","Illegal RemovalThere is a concern that several trees were removed illegally from the property.  Please investigate this matter.","Illegal Removal","Assigned",,
"08/25/2014","BA-201404952","Arborist Illegal Activity","350 PEACHTREE AVE NE, ATLANTA GA 30305","Illegal Removal Pine of unknown diameter. Tree was located at front right of home.","Illegal Removal","Fine",,
"08/21/2014","BA-201404896","Arborist Illegal Activity","931 NORTHCLIFFE DR NW, ATLANTA GA 30318","24"" hwd destroyed.","Illegal destruction","Open",,
"08/21/2014","BA-201404911","Arborist Illegal Activity","882 AMSTERDAM AVE NE, ATLANTA GA 30306","Illegal removal of:28"" Pine located at the left side of the property.","Illegal Activity","Fine",,
"08/20/2014","BA-201404848","Arborist Illegal Activity","1376 MT PARAN RD NW, ATLANTA GA 30327",,"Complaint/Investigation","Assigned",,
"08/15/2014","BA-201404762","Arborist Illegal Activity","5 GILBERT TRL NE, ATLANTA GA 30308","Illegal RemovalThere has been a compaint of trees being illegally removed.  Please investigate this matter.","Illegal Removal","Closed - No Violation Found",,
"08/08/2014","BA-201404592","Arborist Illegal Activity","1036 MONROE DR NE, ATLANTA GA 30306","Illegal Removal","Illegal Removal","Assigned",,
"08/06/2014","BA-201404540","Arborist Illegal Activity","2210 NORTHSIDE DR NW, ATLANTA GA 30305","Illegal Removal of a 6"" Apple located in the front.","Illegal Activity","Assigned",,
"08/05/2014","BA-201404471","Arborist Illegal Activity","442 ANSLEY WALK TER NE, ATLANTA GA 30309","Illegal removal of 3 trees without a permit. Hackberry of unknown diameterRiver Birch of unknown diameterRiver Birch of unknown diameterAddress being used is simply for reference only. This fine is not being applied directly to the owner of  442 Ansley Walk Terrace.","Illegal Activity","Assigned",,
"08/05/2014","BA-201404474","Arborist Illegal Activity","2865 HABERSHAM RD NW, ATLANTA GA 30305","Illegal Removal:Two trees at a total of 48"" diameter at breast height.","Illegal Removal","Closed - Illegal Activity",,
"08/01/2014","BA-201404438","Arborist Illegal Activity","115 HAYNES ST SW, ATLANTA GA 30313","Tree removal without a permit","Illegal activity","Closed - No Violation Found",,
"07/31/2014","BA-201404416","Arborist Illegal Activity","2200 COLLINS RIDGE DR NW, ATLANTA GA 30318","Illegal Removal","Illegal Removal","Closed - No Violation Found",,
"07/31/2014","BA-201404417","Arborist Illegal Activity","1022 TUCKAWANNA DR SW, ATLANTA GA 30311","Illegal Tree Removal:1.) Water Oak, 30"" diameter at breast height, located front right corner of property. Removed without tree removal permit.2.) Pine, 33"" diameter at breast height, located front right corner of property. Removed without tree removal permit.","Illegal Tree Removal","Assigned",,
"07/31/2014","BA-201404424","Arborist Illegal Activity","389 8TH ST NE, ATLANTA GA 30309","Illegal ActivityThere is a concern in regards to illegal destruction of a tree on the property located at 389 8th Street, NE, due to construction vwork being done on the property located behind this property at 394 7th Street, NE. The owners of the property located at 394 7th Street, NE. is (KB Renovations). There mailing address is (2929 Ingleside Avenue,  Macon, Georgia  31204).  Please investigate this matter.","Illegal Activity","Assigned",,
"07/30/2014","BA-201404390","Arborist Illegal Activity","613 AUBURN AVE NE, ATLANTA GA 30312","Illegal Tree Removal1. Mulberry, 22"" diameter at breast height, located rightiside of property. Tree removed illegally without permit from 613 Auburn Ave. SE.","Illegal Tree Removal","Assigned",,
"07/30/2014","BA-201404398","Arborist Illegal Activity","330 RALPH MCGILL BLVD NE, ATLANTA GA 30312","Illegal removal of:Unknown diameter River Birch at Pool area.Unknown diameter River Birch at Pool area.10"" Sawtooth Oak at #63820"" Cherry at #634 Parking Island","Illegal Activity","Assigned",,
"07/25/2014","BA-201404307","Arborist Illegal Activity","1600 ELLSWORTH IND DR NW, ATLANTA GA 00000","Shaherah Guildarie informed Frank Mobley by email that a stop payment had been issued on a partial check payment for $239, 840.  Stop work order is requested by Jorge Rivera.","Complaint","Stop Work Order",,
"07/23/2014","BA-201404227","Arborist Illegal Activity","613 AUBURN AVE NE, ATLANTA GA 30312","Illegal RemovalTree was reported destroyed on this property located at 613 Auburn Avenue, due to construction work being done on properties next to it at 615 and 619 Auburn Avenue.  Please investigate this matter.","Illegal Removal","Assigned",,
"07/21/2014","BA-201404153","Arborist Illegal Activity","2157 LENOX RD NE, ATLANTA GA 30324","Illegal Removal","Illegal Removal","Assigned",,
"07/15/2014","BA-201403992","Arborist Illegal Activity","1720 MT PARAN RD NW, ATLANTA GA 30327","trees immediately behind house have been destroyed w/o permit.","illegal tree removal","Open",,
"07/08/2014","BA-201403853","Arborist Illegal Activity","692 COLLIER COMMONS CIR NW, ATLANTA GA 30318","Illegal removal of 8"" Tree","Illegal removal of 8"" Tree","Assigned",,
"07/03/2014","BA-201403787","Arborist Illegal Activity","1984 KILBURN DR NE, ATLANTA GA 30324","Illegal destruction of more than 30% of the critical root zone and structural root plate on two trees. 39"" Water Oak22"" Pine","Illegal Activity","Assigned",,
"07/02/2014","BA-201403730","Arborist Illegal Activity","2411 MONTVIEW DR NW, ATLANTA GA 30305","Illegal Activity","Illegal Activity","Assigned",,
"06/27/2014","BA-201403576","Arborist Illegal Activity","2356 BOLTON RD NW, ATLANTA GA 30318",,"Investigation/Illegal Activity","Assigned",,
"06/27/2014","BA-201403589","Arborist Illegal Activity","1400 WEST WESLEY RD NW, ATLANTA GA 30327","Illegal Activity","Illegal Activity","Assigned",,
"06/26/2014","BA-201403523","Arborist Illegal Activity","674 CRESTHILL AVE NE, ATLANTA GA 30306","Illegal removal of a 16"" Pecan.","Illegal Activity","Assigned",,
"06/25/2014","BA-201403510","Arborist Illegal Activity","1454 BOULEVARD LORRAINE SW, ATLANTA GA 30311","Illegal Activity - Illegal Removal Destruction1.) Red Oak, 35"" dbh, located along the rightside of the residence/property.2.) Red Oak, 35"" dbh, located along the rightside of the residence/property.Trees removed without permit.","Illegal Activity - Illegal Removal Destruction","Assigned",,
"06/24/2014","BA-201403461","Arborist Illegal Activity","3084 WEST ROXBORO RD NE, ATLANTA GA 30324","Illegal RemovalSeveral trees are being reported for illegal removal at this property.  Please investigate this matter.","Illegal Removal","Closed - No Violation Found",,
"06/23/2014","BA-201403418","Arborist Illegal Activity","2248 RIDGEDALE RD NE, ATLANTA GA 30317","Two Pine Trees removed without permit in the backyard of 2248 Ridgedale Rd. NE. Remnants of these trees are located onsite.1.) Pine, 24"" dbh, located back left of property.2.) Pine, 20"" dbh, located far back right of property.","Illegal Removal Destruction","Assigned",,
"06/23/2014","BA-201403425","Arborist Illegal Activity","836 EUCLID AVE NE, ATLANTA GA 30307","Illegal Removal Destruction - Illegal Activity1.) Magnolia, 15"" dbh, located front left of property.Tree removed without permit.","Illegal Removal Destruction","Assigned",,
"06/20/2014","BA-201403407","Arborist Illegal Activity","836 EUCLID AVE NE, ATLANTA GA 30307","Illegal removal of a Magnolia located at the front left corner of the property.","Illegal Activity","Assigned",,
"06/17/2014","BA-201403320","Arborist Illegal Activity","2248 RIDGEDALE RD NE, ATLANTA GA 30317","Illegal RemovalThere appears to be illegal tree removal on several trees on the property located at 2248 Ridgedale Road, NE.  Please investigate this matter.","Illegal Removal","Assigned",,
"06/17/2014","BA-201403337","Arborist Illegal Activity","2331 PEACHTREE RD NE, ATLANTA GA 30305","Two trees removed illegally without a permit at the rear right of the property bordering 22 Peachtree Hills Ave. Diameter Unknown.","Illegal Removal","Fine",,
"06/10/2014","BA-201403147","Arborist Illegal Activity","2986 NORTH FULTON DR NE, ATLANTA GA 30305","Illegal destruction of two Cherry trees. More than 20% of canopy removed. Topped. Cherry 10""Cherry 8""","Illegal Activity","Assigned",,
"06/09/2014","BA-201403105","Arborist Illegal Activity","2785 RIDGEMORE RD NW, ATLANTA GA 30318","Illegal Activity","Illegal Activity","Assigned",,
"06/09/2014","BA-201403106","Arborist Illegal Activity","818 ANTONE ST NW, ATLANTA GA 30318",,"Complaint/Investigation","Assigned",,
"06/09/2014","BA-201403108","Arborist Illegal Activity","1258 HOLLY ST NW, ATLANTA GA 30318",,"Complaint","Assigned",,
"06/09/2014","BA-201403110","Arborist Illegal Activity","801 WEST CONWAY DR NW, ATLANTA GA 30327","Illegal RemovalThere is a concern about several trees removed from this property's front yard.  Please investigate this matter.","Illegal Removal","Assigned",,
"06/04/2014","BA-201403005","Arborist Illegal Activity","919 DELMAR AVE SE, ATLANTA GA 30316","destroyed 36"" hardwood w/o permit","illegal tree destruction","Assigned",,
"06/03/2014","BA-201402991","Arborist Illegal Activity","927 DELMAR AVE SE, ATLANTA GA 30316","Illegal RemovalThere has been a complaint that an Oak Tree in the center of the front yard is being illegally removed at the property located at 927 Delmar Avenue, SE .  Please investigate this matter.","Illegal Removal","Assigned",,
"06/02/2014","BA-201402935","Arborist Illegal Activity","829 LORIDANS DR NE, ATLANTA GA 30342","Illegal destruction of 6 trees:22"" Pine14"" Hickory16"" Hickory18"" Hickory15"" Hickory18"" Hickory103"" Total inches","Illegal Activity","Fine",,
"06/02/2014","BA-201402945","Arborist Illegal Activity","1665 WILDWOOD RD NE, ATLANTA GA 30306","Illegal removal of two trees of unknown diameter. One at rear left and one at rear right.","Illegal Removal","Assigned",,
"05/27/2014","BA-201402826","Arborist Illegal Activity","2621 ACORN AVE NE, ATLANTA GA 30305","Illegal destruction of one 32"" Tulip Poplar. The structural root plate was cut with a chainsaw.","Illegal Activity","Fine",,
"05/21/2014","BA-201402750","Arborist Illegal Activity","2174 COLLINS RIDGE DR NW, ATLANTA GA 30318","destroy 5 trees @ 68"", replace 4 @ 2.5"" each.","illegal tree removal","Fine",,
"05/21/2014","BA-201402756","Arborist Illegal Activity","266 OXFORD PL NE, ATLANTA GA 00000","Illegal Removal","Illegal Removal","Closed - No Violation Found",,
"05/21/2014","BA-201402760","Arborist Illegal Activity","829 LORIDANS DR NE, ATLANTA GA 30342","Recompense cost for the removal of 14 trees:21"" Pine15"" Hickory20"" Hickory18"" Hickory10"" Cherry13"" Cherry13"" Hickory25"" Hickory19"" Hickory17"" Hickory16"" Hickory9"" Tulip Poplar34"" Red Oak15"" MagnoliaTotal Diameter Inches -- 245""Recompense Calculation: 14(100) + 245""(30) = 8,750.00","Illegal Activity","Fine",,
"05/19/2014","BA-201402666","Arborist Illegal Activity","1042 NAWENCH DR NW, ATLANTA GA 30327","Illegal Removal","Illegal Removal","Assigned",,
"05/15/2014","BA-201402619","Arborist Illegal Activity","383 PEACHTREE AVE NE, ATLANTA GA 30305","Illegal Removal of:Pine of unknown diameter.","Illegal Activity","Assigned",,
"05/13/2014","BA-201402561","Arborist Illegal Activity","3886 NORTHSIDE DR NW, ATLANTA GA 30342","Illegal Removal","Illegal Removal","Assigned",,
"05/12/2014","BA-201402539","Arborist Illegal Activity","655 CATIVO DR SW, ATLANTA GA 30311","Illegal Removal:1.) Pine, 24"" dbh, located front center of property.2.) Pine, 30"" dbh, located front center/left of property.Both trees removed without permit.","Illegal Removal","Assigned",,
"05/12/2014","BA-201402543","Arborist Illegal Activity","374 CATIVO DR SW, ATLANTA GA 30311","Illegal Removal:1.) Red Oak, 22"" dbh, located back center of property.2.) Red Oak, 30"" dbh, located back center of property.3.) Red Oak, 23"" dbh, located back right of property.4.) Pine, 33"" dbh, located back right of property.Total equals 108"" diameter at breast height","Illegal Removal","Assigned",,
"05/12/2014","BA-201402545","Arborist Illegal Activity","144 PEYTON RD SW, ATLANTA GA 30311","Illegal Removal:1.) Pine, 20"" diameter at breast height, located front right of property.","Illegal Removal","Assigned",,
"05/12/2014","BA-201402550","Arborist Illegal Activity","1821 NISKEY LAKE RD SW, ATLANTA GA 30331","Illegal Removal:1.) Water Oak, 25"" diameter at breast height, located front center/left of property.","Illegal Removal","Assigned",,
"05/09/2014","BA-201402500","Arborist Illegal Activity","2687 BIRCHWOOD DR NE, ATLANTA GA 30305","Illegal destruction of three Magnolias. More than 20% of the canopy was removed. Magnolia 13""Magnolia 19""Magnolia 16""","Illegal Activity","Assigned",,
"05/09/2014","BA-201402515","Arborist Illegal Activity","144 PEYTON RD SW, ATLANTA GA 30311","Illegal RemovalReceived call approximately 3:00 pm about several trees on the property located at 144 Peyton Road, SW, being illegally removed.  Please investigate this matter.","Illegal Removal","Assigned",,
"05/09/2014","BA-201402516","Arborist Illegal Activity","374 CATIVO DR SW, ATLANTA GA 30311","Illegal RemovalReceived a call approximately 3:00 pm about several trees being removed illegally on the property located at 374 Cativo Drive, SW.  Please investigate this matter.","Illegal Removal","Assigned",,
"05/09/2014","BA-201402517","Arborist Illegal Activity","655 CATIVO DR SW, ATLANTA GA 30311","Illegal RemovalReceived a call approximately 3:00 pm about several trees being illegally cut at the property located at 655 Cativo Drive, SW.  Please investigate this matter.","Illegal Removal","Assigned",,
"05/07/2014","BA-201402414","Arborist Illegal Activity","3362 MATHIESON DR NE, ATLANTA GA 30305","Illegal RemovalThere was a report that 2 trees were removed on Saturday 5/4/14, without a permit.  Please investigate this matter.","Illegal Removal","Assigned",,
"05/07/2014","BA-201402415","Arborist Illegal Activity","3362 MATHIESON DR NE, ATLANTA GA 30305","Illegal Removal of two River Birches of unknown diameter.","Illegal Removal","Assigned",,
"04/28/2014","BA-201402181","Arborist Illegal Activity","576 BROADLAND RD NW, ATLANTA GA 30342","Illegal Tree Removal","Illegal Tree Removal","Closed - Illegal Activity",,
"04/25/2014","BA-201402127","Arborist Illegal Activity","1015 EULALIA RD NE, ATLANTA GA 30319","Illegal removal of one hardwood of unknown diameter.","Illegal Activity","Fine",,
"04/22/2014","BA-201402031","Arborist Illegal Activity","559 WIMBLEDON RD NE, ATLANTA GA 30324","Neighbor reported the illegal take down of a tree.","Illegal activity","Assigned",,
"04/11/2014","BA-201401778","Arborist Illegal Activity","47 BEVERLY RD NE, ATLANTA GA 30309","Illegal destruction of:33"" Tulip Poplar at rear left. The 31"" White Oak at the rear right has already been illegally destroyed by the home builder a few years ago. A permit has been provided for both due to the impact on their structural root plates.","Illegal Activity","Assigned",,
"04/09/2014","BA-201401751","Arborist Illegal Activity","93 OAK DR SW, ATLANTA GA 30354","Illegal Removal","Illegal Removal","Assigned",,
"04/07/2014","BA-201401687","Arborist Illegal Activity","1029 GREENWOOD AVE NE, ATLANTA GA 30306","Illegal Removal of: 6"" Pecan","Illegal Activity","Assigned",,
"03/31/2014","BA-201401504","Arborist Illegal Activity","3053 MCLENDON CIR NW, ATLANTA GA 30318",,"Investigation","Assigned",,
"03/31/2014","BA-201401505","Arborist Illegal Activity","3053 MCLENDON CIR NW, ATLANTA GA 30318","Illegal ActivityRemoval of multiple trees onsite without permit:1.) Hickory, 24"" dbh, located front center of property.2.) Dogwood, 10"" dbh, located front left along driveway.3.) Dogwood, 10"" dbh, located front left along driveway.4.) Pine, 18"" dbh, located backyard, tree felled, stump ground.5.) Pine, 20"" dbh, located backyard, tree felled, stump ground.6.) Pine, 16"" dbh, located backyard, tree felled, stump ground.Multiple trees were felled and removed from both the front and backyards.","Illegal Activity","Assigned",,
